alpha_last_known,weight_extra_trees,weight_xgboost,ensemble_source,rmse,mae
0.75,0.0,1.0,validation_weight_search,16.952927688137855,11.214877176645073
0.8,0.0,1.0,validation_weight_search,16.956292974089482,11.215870343707596
0.7,0.0,1.0,validation_weight_search,16.97201957425067,11.229080919692011
0.85,0.0,1.0,validation_weight_search,16.98210208132426,11.238751786424208
0.65,0.0,1.0,validation_weight_search,17.013493030876923,11.254717721104498
0.9,0.0,1.0,validation_weight_search,17.030252970267806,11.285660027832975
0.6,0.0,1.0,validation_weight_search,17.07718499191502,11.292061944747502
0.95,0.0,1.0,validation_weight_search,17.10055691536248,11.362064535834293
0.55,0.0,1.0,validation_weight_search,17.162848098084257,11.340564063033275
1.0,0.0,1.0,validation_weight_search,17.19274215630612,11.470275967741934
0.5,0.0,1.0,validation_weight_search,17.27015540987343,11.397977463397456
0.45,0.0,1.0,validation_weight_search,17.398706457029594,11.464529825300085
0.4,0.0,1.0,validation_weight_search,17.548034372203183,11.541446788961913
0.35,0.0,1.0,validation_weight_search,17.717613827251178,11.628533282212155
0.3,0.0,1.0,validation_weight_search,17.906869480414983,11.725824174802137
0.25,0.0,1.0,validation_weight_search,18.11518464987511,11.833365470453991
0.2,0.0,1.0,validation_weight_search,18.34190995133722,11.950421882161113
0.15,0.0,1.0,validation_weight_search,18.586371670670122,12.076096923916737
0.1,0.0,1.0,validation_weight_search,18.847879683164837,12.210697725575278
0.05,0.0,1.0,validation_weight_search,19.125734774780774,12.354221393535507
0.0,0.0,1.0,validation_weight_search,19.41923526436874,12.506447063293779
