,MD,X,Y,Z,GR,TVT,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA
MD,1.0,-0.9047022427430427,0.9997408061270375,-0.05775161951987363,0.3183712097436298,0.4482341674771254,0.9955940739978163,0.9955940739978147,0.9955940739978167,0.9955940739978161,0.9955940739978156,0.995594073997815
X,-0.9047022427430427,1.0,-0.9099918660801943,-0.1907760597877632,-0.32888936903488386,-0.19047689616217858,-0.9172584661680274,-0.9172584661680278,-0.9172584661680283,-0.9172584661680276,-0.9172584661680284,-0.9172584661680295
Y,0.9997408061270375,-0.9099918660801943,1.0,-0.03533414882137148,0.3241872154750275,0.4280118822441762,0.9961492794415329,0.9961492794415312,0.9961492794415329,0.9961492794415331,0.9961492794415318,0.9961492794415311
Z,-0.05775161951987363,-0.1907760597877632,-0.03533414882137148,1.0,0.12491660799655291,-0.9176984519483595,-0.014546312450644973,-0.014546312450632449,-0.014546312450643735,-0.014546312450647834,-0.014546312450640607,-0.014546312450632617
GR,0.3183712097436298,-0.32888936903488386,0.3241872154750275,0.12491660799655291,1.0,0.0011208309909164387,0.3203913531514081,0.32039135315141043,0.3203913531514054,0.32039135315140693,0.3203913531514044,0.32039135315140493
TVT,0.4482341674771254,-0.19047689616217858,0.4280118822441762,-0.9176984519483595,0.0011208309909164387,1.0,0.41058476339405403,0.4105847633940424,0.4105847633940526,0.4105847633940571,0.41058476339404987,0.41058476339404093
ANCC,0.9955940739978163,-0.9172584661680274,0.9961492794415329,-0.014546312450644973,0.3203913531514081,0.41058476339405403,1.0,1.0,0.9999999999999999,1.0,0.9999999999999994,1.0
ASTNU,0.9955940739978147,-0.9172584661680278,0.9961492794415312,-0.014546312450632449,0.32039135315141043,0.4105847633940424,1.0,1.0,1.0,1.0,1.0,0.9999999999999997
ASTNL,0.9955940739978167,-0.9172584661680283,0.9961492794415329,-0.014546312450643735,0.3203913531514054,0.4105847633940526,0.9999999999999999,1.0,1.0,0.9999999999999996,0.9999999999999999,1.0
EGFDU,0.9955940739978161,-0.9172584661680276,0.9961492794415331,-0.014546312450647834,0.32039135315140693,0.4105847633940571,1.0,1.0,0.9999999999999996,1.0,0.9999999999999991,1.0
EGFDL,0.9955940739978156,-0.9172584661680284,0.9961492794415318,-0.014546312450640607,0.3203913531514044,0.41058476339404987,0.9999999999999994,1.0,0.9999999999999999,0.9999999999999991,1.0,1.0
BUDA,0.995594073997815,-0.9172584661680295,0.9961492794415311,-0.014546312450632617,0.32039135315140493,0.41058476339404093,1.0,0.9999999999999997,1.0,1.0,1.0,1.0
