Well_ID,Horizontal_Rows_IQR_outlier,Prediction_Horizon_MD_IQR_outlier,Prediction_Percentage_IQR_outlier,GR_Missing_Percentage_IQR_outlier,Horizontal_TVT_Range_IQR_outlier,Abs_Delta_TVT_IQR_outlier,TVT_Change_Per_MD_IQR_outlier,Longest_GR_Missing_Run_IQR_outlier,Pred_Coverage_Lower_Margin_IQR_outlier,Pred_Coverage_Upper_Margin_IQR_outlier,IQR_Outlier_Count,Coverage_Issue,Internal_Gap_Flag
000d7d20,False,False,False,False,False,False,False,False,False,False,0,False,False
00bbac68,False,False,False,False,False,False,False,False,False,False,0,False,False
00e12e8b,False,False,False,False,False,False,False,False,False,True,1,False,False
015fe0d2,False,False,False,False,False,False,False,False,False,False,0,False,False
01869cd4,False,False,False,False,False,False,False,False,False,False,0,False,False
01982c1d,False,False,False,False,False,False,False,False,False,True,1,False,False
028d7b28,False,False,False,False,False,False,False,False,False,True,1,False,False
02e7fe5a,False,False,False,False,False,False,False,False,False,False,0,False,False
0390d174,False,False,False,False,False,False,False,False,False,True,1,False,False
03a935ae,False,False,False,False,False,True,True,False,False,False,2,False,False
044af7d1,False,False,False,False,False,False,False,False,False,False,0,False,False
0498acab,False,False,False,False,False,False,False,False,False,False,0,False,False
052d64df,False,False,True,False,False,False,False,False,False,False,1,False,False
05948241,False,False,False,False,False,False,False,False,False,False,0,False,False
059c8f24,False,False,False,False,False,False,False,False,False,True,1,False,False
05a0ee4d,False,False,False,False,False,False,False,False,False,False,0,False,False
060ab2b8,False,False,False,False,False,False,False,False,False,False,0,False,False
06df5958,False,False,False,False,False,False,False,False,False,True,1,False,False
071d7b45,False,False,False,False,False,False,False,False,False,False,0,False,False
0849b4e2,False,False,False,False,False,False,False,False,False,False,0,False,False
084d66f9,False,False,False,False,False,False,False,False,False,False,0,False,False
08fecf00,False,False,False,False,False,False,False,False,False,False,0,False,False
09053135,False,False,False,False,False,False,False,False,False,False,0,False,False
09441b8d,False,False,False,False,False,False,False,True,False,False,1,False,False
0955cd6c,False,False,False,False,False,False,False,False,False,False,0,False,False
