,MD,X,Y,Z,GR,TVT,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA
MD,1.0,0.09449003808147849,0.02352765843426273,-0.2503513349875578,-0.056000552375095165,0.2475337420102133,-0.14229352410947446,-0.14120674461657598,-0.14296606288538338,-0.1511185665051256,-0.15313304523637897,-0.1513138518488547
X,0.09449003808147849,1.0,0.8540155821469364,-0.48727739852759844,-0.17219561778716672,0.5579184670023297,-0.49131260088128414,-0.4592962480685667,-0.4766754002125392,-0.5231672986945293,-0.5348213403732671,-0.5211404893627989
Y,0.02352765843426273,0.8540155821469364,1.0,-0.04194689117464851,-0.10385400674432095,0.1612381276843543,-0.023539499636876876,0.010391133537531733,-0.010388349557799147,-0.06247033243361959,-0.07573258644982367,-0.05991594302799439
Z,-0.2503513349875578,-0.48727739852759844,-0.04194689117464851,1.0,0.15859879113031697,-0.9211328531815992,0.9493198204768649,0.9539220774876205,0.955662520311836,0.9551642009910042,0.9540818680815188,0.954905593445975
GR,-0.056000552375095165,-0.17219561778716672,-0.10385400674432095,0.15859879113031697,1.0,-0.16868198536359727,0.1575776675502969,0.13497914150433657,0.13547291138373202,0.1405968485729018,0.14547621090729104,0.14387871045992115
TVT,0.2475337420102133,0.5579184670023297,0.1612381276843543,-0.9211328531815992,-0.16868198536359727,1.0,-0.8660792590181912,-0.8696842460675035,-0.8712326989786554,-0.8753418156605385,-0.8781734879225414,-0.8800156522940181
ANCC,-0.14229352410947446,-0.49131260088128414,-0.023539499636876876,0.9493198204768649,0.1575776675502969,-0.8660792590181912,1.0,0.9924314653534673,0.9948691067293594,0.9984506237101349,0.9982749987850436,0.998451077309429
ASTNU,-0.14120674461657598,-0.4592962480685667,0.010391133537531733,0.9539220774876205,0.13497914150433657,-0.8696842460675035,0.9924314653534673,1.0,0.9993375364661472,0.9937628578724408,0.9912128133619266,0.993842085595863
ASTNL,-0.14296606288538338,-0.4766754002125392,-0.010388349557799147,0.955662520311836,0.13547291138373202,-0.8712326989786554,0.9948691067293594,0.9993375364661472,1.0,0.9966554176308275,0.9946825183921467,0.9966143644494684
EGFDU,-0.1511185665051256,-0.5231672986945293,-0.06247033243361959,0.9551642009910042,0.1405968485729018,-0.8753418156605385,0.9984506237101349,0.9937628578724408,0.9966554176308275,1.0,0.999625188199841,0.999729651121886
EGFDL,-0.15313304523637897,-0.5348213403732671,-0.07573258644982367,0.9540818680815188,0.14547621090729104,-0.8781734879225414,0.9982749987850436,0.9912128133619266,0.9946825183921467,0.999625188199841,1.0,0.9996579127510103
BUDA,-0.1513138518488547,-0.5211404893627989,-0.05991594302799439,0.954905593445975,0.14387871045992115,-0.8800156522940181,0.998451077309429,0.993842085595863,0.9966143644494684,0.999729651121886,0.9996579127510103,1.0
