Well_ID,Horizontal_Rows,Known_Rows,Prediction_Rows,Prediction_Percentage,Prediction_Start_MD,Last_Known_TVT,Prediction_Horizon_MD,Clean_Prediction_Boundary,Unexpected_Internal_Gaps,TVT_Input_Matches_TVT
000d7d20,5278,1442,3836,72.67904509283821,12909.0,11747.37,3835.0,True,False,True
00bbac68,7559,1545,6014,79.56078846408255,13123.0,12223.54,6013.0,True,False,True
00e12e8b,6384,2083,4301,67.37155388471177,12539.0,11604.820000000002,4300.0,True,False,True
015fe0d2,5950,1654,4296,72.2016806722689,13488.0,12233.78,4295.0,True,False,True
01869cd4,6850,1293,5557,81.12408759124088,12549.0,11745.94,5556.0,True,False,True
01982c1d,5587,1646,3941,70.538750671201,11667.0,10694.08,3940.0,True,False,True
028d7b28,7761,1527,6234,80.32470042520293,13424.0,12427.92,6233.0,True,False,True
02e7fe5a,6888,1780,5108,74.15795586527294,13255.0,12178.98,5107.0,True,False,True
0390d174,6101,1690,4411,72.29962301262088,12048.0,10620.96,4410.0,True,False,True
03a935ae,4430,1644,2786,62.88939051918736,13952.0,12792.17,2785.0,True,False,True
044af7d1,6067,1548,4519,74.48491841107632,12988.0,11850.28,4518.0,True,False,True
0498acab,6432,1634,4798,74.59577114427861,12544.0,11400.71,4797.0,True,False,True
052d64df,4590,2145,2445,53.26797385620915,12540.0,11440.240000000002,2444.0,True,False,True
05948241,5428,1549,3879,71.46278555637436,11771.0,10837.56,3878.0,True,False,True
059c8f24,7998,1740,6258,78.24456114028507,11571.0,10300.070000000002,6257.0,True,False,True
05a0ee4d,6098,1750,4348,71.30206625122992,12720.0,11927.5,4347.0,True,False,True
060ab2b8,7818,1560,6258,80.04604758250193,11948.0,10950.59,6257.0,True,False,True
06df5958,5039,1530,3509,69.63683270490176,12302.0,11338.8,3508.0,True,False,True
071d7b45,4720,1509,3211,68.02966101694915,11892.0,10530.11,3210.0,True,False,True
0849b4e2,7436,1899,5537,74.46207638515331,12981.0,11944.08,5536.0,True,False,True
084d66f9,5632,1747,3885,68.98082386363636,11972.0,11007.070000000002,3884.0,True,False,True
08fecf00,7405,1831,5574,75.27346387575962,12985.0,12148.1,5573.0,True,False,True
09053135,7715,1808,5907,76.5651328580687,12790.0,11461.63,5906.0,True,False,True
09441b8d,7395,1907,5488,74.21230561189994,12294.0,11212.2,5487.0,True,False,True
0955cd6c,7125,1930,5195,72.91228070175438,13374.0,12184.63,5194.0,True,False,True
09ec2ca9,7824,1939,5885,75.21728016359918,12409.0,11053.11,5884.0,True,False,True
