well_id,n_typewell_rows,n_horizontal_rows,n_known_rows,n_prediction_rows,prediction_fraction,prediction_md_start,prediction_md_end,prediction_md_horizon,known_tvt_min,known_tvt_max,known_tvt_range,last_known_tvt,prediction_tvt_min,prediction_tvt_max,prediction_tvt_range,prediction_tvt_std,prediction_tvt_change,prediction_gr_mean,prediction_gr_std,prediction_gr_range,prediction_gr_missing_fraction,typewell_tvt_min,typewell_tvt_max,typewell_tvt_range,typewell_gr_mean,typewell_gr_std,gr_mean_difference,formation_marker_count,formation_marker_coverage,Bias_Formation_Marker_Baseline,Bias_Last_Known_TVT,Bias_Linear_Extrapolation_10,Bias_Linear_Extrapolation_100,Bias_Linear_Extrapolation_50,Bias_Z_to_TVT_Linear_Model,MAE_Formation_Marker_Baseline,MAE_Last_Known_TVT,MAE_Linear_Extrapolation_10,MAE_Linear_Extrapolation_100,MAE_Linear_Extrapolation_50,MAE_Z_to_TVT_Linear_Model,RMSE_Formation_Marker_Baseline,RMSE_Last_Known_TVT,RMSE_Linear_Extrapolation_10,RMSE_Linear_Extrapolation_100,RMSE_Linear_Extrapolation_50,RMSE_Z_to_TVT_Linear_Model,best_baseline_rmse,best_baseline_model,difficulty_group
000d7d20_,1296,5278,1442,3836,0.726790450928382,12909.0,16744.0,3835.0,11236.02,11756.12,520.1000000000004,11747.37,11734.83,11750.03,15.200000000000728,5.091294404678386,-10.06000000000131,97.91243002801158,15.572113919283384,169.34254102513,0.47340980187695514,11223.95,11871.45,647.5,83.25763888888889,26.251320837149905,14.654791139122693,23016,1.0,675.6697880511517,5.445565693431345,27.072292966636965,29.377486125456624,37.475533520500946,-58.280021846090555,675.6697880511517,6.134966110532169,27.08822120627835,29.38431393495293,37.475533520500946,58.280021846090555,760.5518160060432,7.454442102844319,32.107815976447796,34.76235079281408,44.09440636770479,64.62759529912027,7.454442102844319,RMSE_Last_Known_TVT,Moderate
00bbac68_,1946,7559,1545,6014,0.7956078846408255,13123.0,19136.0,6013.0,11406.63,12225.05,818.4200000000001,12223.54,12189.820000000002,12240.01,50.18999999999869,15.054524327105778,-6.740000000001601,88.06952898382865,15.698113909489079,181.1815901171728,0.13834386431659462,11394.45,12366.95,972.5,92.3441726618705,27.661227042563564,4.274643678041855,36084,1.0,711.2268970021431,2.521854007316989,53.740490370620996,25.348535375452265,41.82370514789918,-103.27802280379811,711.2268970021431,12.104334885267482,53.83392986029821,25.95146604625117,41.994753017554665,103.27802280379811,806.0411655174834,15.263052288602681,68.07597275271704,36.47567818558895,54.643155698705144,115.59151370179744,15.263052288602681,RMSE_Last_Known_TVT,Difficult
00e12e8b_,2556,6384,2083,4301,0.6737155388471178,12539.0,16839.0,4300.0,10606.18,11604.820000000002,998.6400000000012,11604.820000000002,11587.05,11616.64,29.590000000000146,7.888945447809058,-8.450000000000728,38.159914210877226,10.020574987112493,72.78417579132103,0.09718670076726342,10593.95,11871.45,1277.5,95.76901408450705,23.50127945482738,57.60909987362982,25806,1.0,-1222.2882867651729,0.7603417809825593,90.05943269081347,79.73385825264747,91.39465054456204,-100.60126503228135,1222.2882867651729,6.519876772843751,90.05945326390075,79.74011497254858,91.39465727171698,100.60126503228135,1281.9894376060984,7.92458894231589,106.49474391910924,94.60386283103423,108.0328792073174,107.21385008563801,7.92458894231589,RMSE_Last_Known_TVT,Moderate
015fe0d2_,1265,5950,1654,4296,0.7220168067226891,13488.0,17783.0,4295.0,11747.26,12241.19,493.9300000000003,12233.78,12232.92,12271.53,38.61000000000058,12.088720643862397,23.979999999999563,94.68280935673957,15.39163033221542,168.68256751239824,0.3202979515828678,11734.95,12366.95,632.0,81.7350118577075,27.57992420521143,12.947797499032063,25776,1.0,677.4438727432542,-19.749576350092607,43.53351455886268,35.856285246115604,44.46400756344087,79.1513706458457,677.4438727432542,19.800242085660624,43.5335183679028,35.87855946163737,44.46400834811228,79.1513706458457,774.0036157023115,23.154889673287215,52.00311673009258,43.268443384774436,53.06469677249864,88.81159878646632,23.154889673287215,RMSE_Last_Known_TVT,Difficult
01869cd4_,1052,6850,1293,5557,0.8112408759124088,12549.0,18105.0,5556.0,11358.27,11745.94,387.6700000000001,11745.94,11728.75,11767.75,39.0,9.633812517883776,3.4499999999989086,87.52697932586509,19.292457923558846,114.26674197247587,0.5112470757603024,11345.95,11871.45,525.5,76.89226235741445,24.329897776188858,10.634716968450633,33342,1.0,311.48287731851354,-4.467759582508185,-1.7729717027054954,36.99912268574921,19.186768148714958,85.69060297520258,311.48287731851354,8.635673924779429,7.0036414891918595,36.99912268574921,19.186768148714958,85.69060297520258,347.5873244291661,10.618593023436276,8.80378454152798,41.398682801765034,21.548786688145295,95.05785863687204,8.80378454152798,RMSE_Linear_Extrapolation_10,Moderate
01982c1d_,2213,5587,1646,3941,0.70538750671201,11667.0,15607.0,3940.0,9927.92,10695.87,767.9500000000007,10694.08,10682.86,10700.87,18.01000000000022,5.60778706794162,-11.219999999999345,47.30778558626893,8.23692223257298,77.28287180002326,0.15808170515097691,9915.37,11021.27,1105.8999999999996,94.23446452779032,34.78919487251967,46.926678941521395,23646,1.0,753.4534138792095,2.9473560010147337,52.16262872916316,39.92610721614349,46.93496512466088,-92.54452368784287,753.4534138792095,5.776277594519081,52.22413033234768,40.135636020584386,47.050138992756786,92.54452368784287,842.1410713350042,6.33452473981023,60.48417150314965,46.427202495585924,54.474243892328474,102.79134278786907,6.33452473981023,RMSE_Last_Known_TVT,Easy
028d7b28_,1774,7761,1527,6234,0.8032470042520293,13424.0,19657.0,6233.0,11874.64,12427.92,553.2800000000007,12427.92,12410.84,12437.08,26.23999999999978,7.1700078887113365,0.8600000000005821,49.33857393117094,14.740356402327338,238.52289154715652,0.23307667629130574,11862.45,12748.95,886.5,83.02681510710259,25.105197003510742,33.68824117593165,37404,1.0,1285.8333972042508,1.806828681424373,73.60379838005144,115.01912646116342,93.54441211490224,157.34579001711688,1285.8333972042508,5.793652550529349,73.60379838005144,115.01912646116342,93.54441211490224,157.34579001711688,1430.747508953907,7.393605105422137,84.04520932678449,131.74884138144017,107.00049978565589,174.0364521490542,7.393605105422137,RMSE_Last_Known_TVT,Moderate
02e7fe5a_,1006,6888,1780,5108,0.7415795586527294,13255.0,18362.0,5107.0,11356.13,12178.98,822.8500000000004,12178.98,12175.21,12199.39,24.18000000000029,5.214137164585556,18.93000000000029,69.90244208045617,9.416102445387033,69.38951944069568,0.6366483946750195,11782.62,12285.1,502.47999999999956,63.92459244532803,19.94089088622225,5.977849635128138,30648,1.0,1030.5959770823154,-6.604598668755465,78.85503769360488,85.5129859396745,81.95221909822193,-70.93579086983968,1030.5959770823154,6.944919733751464,78.85966095836,85.51339691898701,81.95452368871916,70.93579086983968,1114.3932879859512,8.414429717261077,92.42063963133828,100.0958719334338,95.9908014616985,75.73112997788073,8.414429717261077,RMSE_Last_Known_TVT,Moderate
0390d174_,1709,6101,1690,4411,0.7229962301262088,12048.0,16458.0,4410.0,10114.85,10620.96,506.10999999999876,10620.96,10607.69,10639.09,31.399999999999636,8.351822654178013,-2.0899999999983265,30.90347461658936,7.212788090317892,66.72583207009956,0.4978462933575153,10102.6,10956.570000000002,853.9700000000012,69.85925687536572,29.05788732885667,38.95578225877635,26466,1.0,668.6202020510983,1.676087055088481,51.41135978268508,61.95290253667923,58.99183351354261,97.78990612650327,668.6202020510983,7.240213103604261,51.41135978268508,61.95290253667923,58.99183351354261,97.78990612650327,736.4268171076465,8.517417217402954,58.77705549102749,70.84297521662735,67.44987943016443,106.86185421804628,8.517417217402954,RMSE_Last_Known_TVT,Moderate
03a935ae_,1616,4430,1644,2786,0.6288939051918736,13952.0,16737.0,2785.0,12192.18,12837.98,645.7999999999993,12792.17,12738.58,12792.15,53.56999999999971,16.299210735016253,-49.599999999998545,87.26968609805482,16.536548409320705,106.74009929573711,0.04055994256999282,12179.95,12987.45,807.5,84.53152227722772,28.872973773467507,2.738163820827097,13930,0.8333333333333334,877.2153892800898,31.036238334529738,3.1662383345840177,2.8046725379551467,3.8253487787533538,-53.29998583559072,877.2153892800898,31.036238334529738,4.6670854271484945,4.593437918667033,4.860104107416201,53.29998583559072,954.6459801705008,35.05448621305352,5.875162602593484,5.71237106912778,6.2332218258374725,57.742210206542815,5.71237106912778,RMSE_Linear_Extrapolation_100,Easy
