well_id,model,rmse,mae,n_rows
000d7d20,Linear Regression,247.78097445330422,247.6848688292458,5278
00bbac68,Linear Regression,38.17681273149477,36.25591170343562,7559
00e12e8b,Linear Regression,83.52460156753159,82.5441783504811,6384
015fe0d2,Linear Regression,101.55802625202712,99.53136117012959,5950
01869cd4,Linear Regression,80.90368930142078,80.62406625867898,6850
01982c1d,Linear Regression,31.170116775802096,27.640038193786097,5587
028d7b28,Linear Regression,20.637172907136605,15.906125060477889,7761
02e7fe5a,Linear Regression,36.30735269065635,33.022284405732975,6888
0390d174,Linear Regression,183.19543514415068,182.11319245752935,6101
03a935ae,Linear Regression,19.66780496204226,16.94700362708797,4430
044af7d1,Linear Regression,20.695045309953624,17.60693728598203,6067
0498acab,Linear Regression,59.80243890936388,58.98535983283986,6432
052d64df,Linear Regression,211.53286434065828,211.4540433687447,4590
05948241,Linear Regression,36.46725998869491,35.567017211028706,5428
059c8f24,Linear Regression,88.40980012292192,80.63257461042079,7998
05a0ee4d,Linear Regression,328.8660404412099,328.5416587803837,6098
060ab2b8,Linear Regression,128.11702939896702,127.73015090148756,7818
06df5958,Linear Regression,40.42788060970596,39.90923478685008,5039
071d7b45,Linear Regression,124.36565313920491,124.08124968172815,4720
0849b4e2,Linear Regression,60.350476965549355,58.80463013548373,7436
084d66f9,Linear Regression,15.338457079283526,13.779254619839577,5632
08fecf00,Linear Regression,177.92998482968244,176.9197757221884,7405
09053135,Linear Regression,205.1759035620747,205.03487557420138,7715
09441b8d,Linear Regression,30.33843920216446,29.09567078859261,7395
0955cd6c,Linear Regression,69.90721209248873,67.4153897670635,7125
09ec2ca9,Linear Regression,171.32610778201698,170.5190919331465,7824
0a57a29c,Linear Regression,27.390558180881808,26.918077901347843,7194
0bbf5e67,Linear Regression,40.32598739030089,37.91887736191778,6031
0be01c24,Linear Regression,148.72161833698846,148.63801437174,6385
0c1b160c,Linear Regression,69.26245868721404,68.29899065282801,6714
0d99f8e4,Linear Regression,125.91490379435854,125.8056427897151,7522
0dc5e64d,Linear Regression,371.9550596072478,371.0817520569255,6191
