feature,built_in_importance,importance_mean,importance_std,built_in_rank,permutation_rank
Z,0.2100972824300899,332.0730959022495,0.5027454849647934,1,1
ASTNU,0.11417741262562676,87.8902324372301,0.2661037476449707,6,2
TVT_input,0.025117519299251344,69.78596236252135,0.49856304036963534,8,3
X,0.018287238010801055,48.287768715591824,0.18630476339231303,9,4
BUDA,0.1263148881991945,45.836723359888175,0.20908105448809347,3,5
ASTNL,0.12100107619893341,44.382196729694556,0.10385461116261699,4,6
Y,0.01695977360891419,36.592102486092436,0.16677535632943896,10,7
EGFDU,0.12711187359881168,34.306395402230315,0.10247283273296123,2,8
ANCC,0.11417046565473707,32.79095103249365,0.14065312321597548,7,9
MD,0.011360300527709538,32.18325382469351,0.207911524612886,11,10
EGFDL,0.1149671982281914,28.873869754610748,0.08776182807562478,5,11
GR,0.0004349716177392024,-0.050376297352390985,0.004145046888493392,12,12
