model,fold,rmse,mae,training_seconds,prediction_seconds,training_rows,validation_rows,training_wells,validation_wells,overlapping_wells
Linear Regression,1,132.57316396192147,82.71397802704065,29.700639999995474,0.8915108000219334,4075197,1017058,619,154,0
Linear Regression,2,120.2329446869102,92.02900101086719,38.497533599991584,0.9329932999971788,4075198,1017057,619,154,0
Linear Regression,3,97.61162636455283,76.24146470953752,31.388154999993276,1.0198303000070155,4073152,1019103,618,155,0
Linear Regression,4,113.38736911953515,83.63330187911485,27.141998700011754,0.6068915000068955,4072802,1019453,618,155,0
Linear Regression,5,111.6144513836913,84.59522923243433,21.964584600005765,0.5488782999746036,4072671,1019584,618,155,0
Random Forest,1,88.75845707131296,43.01656177845307,636.1881327000156,3.491837999987183,4075197,1017058,619,154,0
Random Forest,2,107.8943387586699,47.9326044112344,551.4029488000087,2.6199152000190224,4075198,1017057,619,154,0
Random Forest,3,91.53800254352632,47.64777223941084,546.6478491000016,2.8353769999812357,4073152,1019103,618,155,0
Random Forest,4,134.0446729036517,56.113260415069774,552.4977901999955,2.8736344999924768,4072802,1019453,618,155,0
Random Forest,5,96.19737375183318,47.82813292741736,523.1620803000114,2.7050844999903347,4072671,1019584,618,155,0
Extra Trees Optimized,1,65.39787517260628,32.63387755762108,148.89434890000848,3.5426255999773275,4075197,1017058,619,154,0
Extra Trees Optimized,2,90.59875961057297,40.13746606184813,159.96670160000212,7.333145299984608,4075198,1017057,619,154,0
Extra Trees Optimized,3,65.6524886440435,32.13891130218025,231.52374259999488,6.392360400001053,4073152,1019103,618,155,0
Extra Trees Optimized,4,101.8742301287675,41.76944711445342,169.01285290002124,4.851094700017711,4072802,1019453,618,155,0
Extra Trees Optimized,5,88.06242138102627,42.0579156685019,154.83274389998405,4.930455999972764,4072671,1019584,618,155,0
XGBoost Optimized,1,74.58108289367681,41.81942675063608,318.2687985000084,7.637320299982093,4075197,1017058,619,154,0
XGBoost Optimized,2,96.5062815481473,48.03067352876824,256.7795361999888,7.143997199978912,4075198,1017057,619,154,0
XGBoost Optimized,3,77.4509632665947,41.78430127021785,278.5293364999816,9.526955700013787,4073152,1019103,618,155,0
XGBoost Optimized,4,120.65219563558936,52.64940483393729,281.87676750001265,7.455220300005749,4072802,1019453,618,155,0
XGBoost Optimized,5,90.60104313830678,47.10737300886932,267.0124944000272,6.986038000002736,4072671,1019584,618,155,0
