model,well_id,rmse,mae,n_rows,fold
Linear Regression,000d7d20,247.78097445330422,247.6848688292458,5278,4
Linear Regression,00bbac68,38.17681273149477,36.25591170343562,7559,2
Linear Regression,00e12e8b,83.52460156753159,82.5441783504811,6384,3
Linear Regression,015fe0d2,101.55802625202712,99.53136117012959,5950,1
Linear Regression,01869cd4,80.90368930142078,80.62406625867898,6850,4
Linear Regression,01982c1d,31.170116775802096,27.640038193786097,5587,2
Linear Regression,028d7b28,20.637172907136605,15.906125060477889,7761,1
Linear Regression,02e7fe5a,36.30735269065635,33.022284405732975,6888,1
Linear Regression,0390d174,183.19543514415068,182.11319245752935,6101,3
Linear Regression,03a935ae,19.66780496204226,16.94700362708797,4430,2
Linear Regression,044af7d1,20.695045309953624,17.60693728598203,6067,4
Linear Regression,0498acab,59.80243890936388,58.98535983283986,6432,4
Linear Regression,052d64df,211.53286434065828,211.4540433687447,4590,3
Linear Regression,05948241,36.46725998869491,35.567017211028706,5428,5
Linear Regression,059c8f24,88.40980012292192,80.63257461042079,7998,4
Linear Regression,05a0ee4d,328.8660404412099,328.5416587803837,6098,5
Linear Regression,060ab2b8,128.11702939896702,127.73015090148756,7818,2
Linear Regression,06df5958,40.42788060970596,39.90923478685008,5039,4
Linear Regression,071d7b45,124.36565313920491,124.08124968172815,4720,2
Linear Regression,0849b4e2,60.350476965549355,58.80463013548373,7436,2
Linear Regression,084d66f9,15.338457079283526,13.779254619839577,5632,1
Linear Regression,08fecf00,177.92998482968244,176.9197757221884,7405,5
Linear Regression,09053135,205.1759035620747,205.03487557420138,7715,4
Linear Regression,09441b8d,30.33843920216446,29.09567078859261,7395,1
Linear Regression,0955cd6c,69.90721209248873,67.4153897670635,7125,4
Linear Regression,09ec2ca9,171.32610778201698,170.5190919331465,7824,1
Linear Regression,0a57a29c,27.390558180881808,26.918077901347843,7194,4
Linear Regression,0bbf5e67,40.32598739030089,37.91887736191778,6031,3
Linear Regression,0be01c24,148.72161833698846,148.63801437174,6385,4
Linear Regression,0c1b160c,69.26245868721404,68.29899065282801,6714,5
Linear Regression,0d99f8e4,125.91490379435854,125.8056427897151,7522,4
