feature,missing_count,missing_percentage
TVT_input_diff,3784762,74.32388990732004
TVT_input,3783989,74.30870999193874
GR_diff,2324687,45.6514255472281
GR,1507972,29.613049621434907
ANCC,45634,0.8961452244634254
EGFDL,6067,0.11914171619449537
Y_diff,773,0.01517991538129964
MD_diff,773,0.01517991538129964
X_diff,773,0.01517991538129964
Z_diff,773,0.01517991538129964
EGFDU,0,0.0
ASTNU,0,0.0
ASTNL,0,0.0
X,0,0.0
Y,0,0.0
MD,0,0.0
Z,0,0.0
Z_relative,0,0.0
Y_relative,0,0.0
X_relative,0,0.0
MD_relative,0,0.0
BUDA,0,0.0
TVT,0,0.0
horizontal_distance,0,0.0
spatial_distance,0,0.0
