,median
ANCC,-8896.6103515625
ASTNL,-9155.7001953125
ASTNU,-9084.8203125
BUDA,-9404.0595703125
EGFDL,-9283.625
EGFDU,-9240.525390625
GR,86.07415008544922
GR_dev_from_roll_mean_11,-0.0011495674261823297
GR_dev_from_roll_mean_21,-0.019709138199687004
GR_dev_from_roll_mean_5,0.0
GR_diff,0.0
GR_roll_mean_11,86.52467346191406
GR_roll_mean_21,86.5406494140625
GR_roll_mean_5,86.49506378173828
GR_roll_std_11,3.9984164237976074
GR_roll_std_21,4.701964378356934
GR_roll_std_5,3.062171459197998
MD,15334.0
MD_diff,1.0
MD_normalized,0.7156723141670227
MD_relative,4462.0
X,2986706.115
X_diff,-0.07000000029802322
X_relative,-217.18499755859375
Y,1083333.045
Y_diff,0.7099999785423279
Y_relative,1577.5350341796875
Z,-9327.650390625
Z_diff,0.009999999776482582
Z_relative,-690.27001953125
cumulative_trajectory_distance,4462.0732421875
distance_beyond_known_interval,1806.0
distance_from_last_known_md,1806.0
dz_dmd,0.009999999776482582
horizontal_distance,3999.388671875
known_fraction,0.28447243571281433
known_tvt_count,1819.0
last_known_md,12928.0
last_known_tvt,11368.6298828125
linear_proj_median_slope,11372.443359375
linear_proj_w10,11372.06640625
linear_proj_w100,11375.751953125
linear_proj_w25,11373.107421875
linear_proj_w5,11372.037109375
linear_proj_w50,11375.205078125
linear_tvt_projection,11375.205078125
md_relative_to_first_known,4462.0
recent_tvt_slope,-1.0084033419843763e-05
slope_long_minus_short,-2.898289676522836e-05
slope_mean,0.00016074307495728135
slope_median,8.216199937202337e-14
slope_std,0.0021721948869526386
spatial_distance,4063.59716796875
step_distance_3d,1.000100016593933
tvt_slope_w10,9.042643885201138e-14
tvt_slope_w100,-0.00021494149405043572
tvt_slope_w25,0.00021538461442105472
tvt_slope_w5,3.109822512351035e-14
tvt_slope_w50,-1.0084033419843763e-05
tw_gr_max,207.00999450683594
tw_gr_mean,86.40381622314453
tw_gr_min,28.290000915527344
tw_gr_percentile,47.03883361816406
tw_gr_std,28.680706024169922
tw_interp_tvt_by_gr,11160.9033203125
tw_local_tvt_mean,11152.783203125
tw_local_tvt_std,165.13729858398438
tw_nearest_gr_distance,0.018954966217279434
tw_nearest_tvt,11175.4501953125
tw_tvt_max,11537.41015625
tw_tvt_min,10638.419921875
tw_tvt_range,906.5
