well_id,mask_number,mask_name,total_usable_rows,known_rows,hidden_rows,hidden_rows_used,hidden_rows_full,hidden_fraction,last_known_md,first_hidden_md
000d7d20,1,natural,5278,1442,3836,1500,3836,0.726790450928382,12908.0,12909.0
000d7d20,2,frac_0.50,5278,2639,2639,1500,2639,0.5,14105.0,14106.0
00bbac68,1,natural,7559,1545,6014,1500,6014,0.7956078846408255,13122.0,13123.0
00bbac68,2,frac_0.15,7559,6425,1134,1134,1134,0.15001984389469505,18002.0,18003.0
015fe0d2,1,natural,5950,1654,4296,1500,4296,0.7220168067226891,13487.0,13488.0
015fe0d2,2,frac_0.80,5950,1216,4734,1500,4734,0.7956302521008404,13049.0,13050.0
01869cd4,1,natural,6850,1293,5557,1500,5557,0.8112408759124088,12548.0,12549.0
01869cd4,2,frac_0.15,6850,5822,1028,1028,1028,0.15007299270072993,17077.0,17078.0
01982c1d,1,natural,5587,1646,3941,1500,3941,0.70538750671201,11666.0,11667.0
01982c1d,2,frac_0.25,5587,4190,1397,1397,1397,0.2500447467334885,14210.0,14211.0
028d7b28,1,natural,7761,1527,6234,1500,6234,0.8032470042520293,13423.0,13424.0
028d7b28,2,frac_0.73,7761,2120,5641,1500,5641,0.7268393248292746,14016.0,14017.0
0390d174,1,natural,6101,1690,4411,1500,4411,0.7229962301262088,12047.0,12048.0
0390d174,2,frac_0.25,6101,4576,1525,1500,1525,0.2499590231109654,14933.0,14934.0
03a935ae,1,natural,4430,1644,2786,1500,2786,0.6288939051918736,13951.0,13952.0
03a935ae,2,frac_0.80,4430,905,3525,1500,3525,0.7957110609480813,13212.0,13213.0
0498acab,1,natural,6432,1634,4798,1500,4798,0.7459577114427861,12543.0,12544.0
0498acab,2,frac_0.15,6432,5467,965,965,965,0.15003109452736318,16376.0,16377.0
052d64df,1,natural,4590,2145,2445,1500,2445,0.5326797385620915,12539.0,12540.0
052d64df,2,frac_0.50,4590,2295,2295,1500,2295,0.5,12689.0,12690.0
05948241,1,natural,5428,1549,3879,1500,3879,0.7146278555637435,11770.0,11771.0
05948241,2,frac_0.35,5428,3528,1900,1500,1900,0.35003684598378776,13749.0,13750.0
059c8f24,1,natural,7998,1740,6258,1500,6258,0.7824456114028507,11570.0,11571.0
059c8f24,2,frac_0.15,7998,6798,1200,1200,1200,0.15003750937734434,16628.0,16629.0
