,median
ANCC,-8884.009765625
ASTNL,-9142.8095703125
ASTNU,-9073.6796875
BUDA,-9388.0703125
EGFDL,-9268.919921875
EGFDU,-9224.7197265625
GR,86.29728698730469
GR_dev_from_roll_mean_11,-1.4210854715202004e-14
GR_dev_from_roll_mean_21,-0.01870940811932087
GR_dev_from_roll_mean_5,0.0
GR_diff,0.0
GR_roll_mean_11,86.76904296875
GR_roll_mean_21,86.79345703125
GR_roll_mean_5,86.72920227050781
GR_roll_std_11,4.047176361083984
GR_roll_std_21,4.757968902587891
GR_roll_std_5,3.1026389598846436
MD,15301.0
MD_diff,1.0
MD_normalized,0.7167641520500183
MD_relative,4440.0
X,2987315.13
X_diff,-0.05999999865889549
X_relative,-204.74000549316406
Y,1084869.81
Y_diff,0.7099999785423279
Y_relative,1523.5899658203125
Z,-9320.01953125
Z_diff,0.009999999776482582
Z_relative,-691.1599731445312
cumulative_trajectory_distance,4440.08056640625
distance_beyond_known_interval,1786.0
distance_from_last_known_md,1786.0
dz_dmd,0.009999999776482582
horizontal_distance,3978.994140625
known_fraction,0.2873486876487732
known_tvt_count,1814.0
last_known_md,12904.0
last_known_tvt,11368.7099609375
linear_proj_median_slope,11374.0439453125
linear_proj_w10,11373.7001953125
linear_proj_w100,11377.0498046875
linear_proj_w25,11374.453125
linear_proj_w5,11373.42578125
linear_proj_w50,11376.6982421875
linear_tvt_projection,11376.6982421875
md_relative_to_first_known,4440.0
recent_tvt_slope,6.914765981491655e-05
slope_long_minus_short,6.780677267670399e-06
slope_mean,0.00037877928116358817
slope_median,0.00021538461442105472
slope_std,0.002203314332291484
spatial_distance,4043.346435546875
step_distance_3d,1.000100016593933
tvt_slope_w10,1.9133853572730897e-13
tvt_slope_w100,-8.754875307204202e-05
tvt_slope_w25,0.0002538461412768811
tvt_slope_w5,1.975121455277673e-13
tvt_slope_w50,6.914765981491655e-05
tw_gr_max,207.00999450683594
tw_gr_mean,86.14723205566406
tw_gr_min,28.290000915527344
tw_gr_percentile,47.44976806640625
tw_gr_std,28.675735473632812
tw_interp_tvt_by_gr,11151.87109375
tw_local_tvt_mean,11147.3115234375
tw_local_tvt_std,165.49298095703125
tw_nearest_gr_distance,0.018855595961213112
tw_nearest_tvt,11165.9404296875
tw_tvt_max,11537.41015625
tw_tvt_min,10650.7900390625
tw_tvt_range,903.1300048828125
